year,source,share
2002-01-01,biomass,3.826
2002-01-01,coal,32.149
2002-01-01,crude oil,17.197
2002-01-01,geothermal,0.242
2002-01-01,hydro,3.803
2002-01-01,natural gas,31.030
2002-01-01,nuclear,11.519
2002-01-01,solar,0.085
2002-01-01,wind,0.149
2003-01-01,biomass,4.011
2003-01-01,coal,31.592
2003-01-01,crude oil,17.101
2003-01-01,geothermal,0.248
2003-01-01,hydro,3.993
2003-01-01,natural gas,31.429
2003-01-01,nuclear,11.381
2003-01-01,solar,0.083
2003-01-01,wind,0.162
2004-01-01,biomass,4.266
2004-01-01,coal,32.540
2004-01-01,crude oil,16.447
2004-01-01,geothermal,0.254
2004-01-01,hydro,3.828
2004-01-01,natural gas,30.672
2004-01-01,nuclear,11.709
2004-01-01,solar,0.083
2004-01-01,wind,0.202
2005-01-01,biomass,4.467
2005-01-01,coal,33.393
2005-01-01,crude oil,15.806
2005-01-01,geothermal,0.260
2005-01-01,hydro,3.893
2005-01-01,natural gas,30.087
2005-01-01,nuclear,11.754
2005-01-01,solar,0.083
2005-01-01,wind,0.256
2006-01-01,biomass,4.540
2006-01-01,coal,33.632
2006-01-01,crude oil,15.221
2006-01-01,geothermal,0.256
2006-01-01,hydro,4.056
2006-01-01,natural gas,30.222
2006-01-01,nuclear,11.613
2006-01-01,solar,0.086
2006-01-01,wind,0.373
2007-01-01,biomass,4.863
2007-01-01,coal,32.904
2007-01-01,crude oil,15.045
2007-01-01,geothermal,0.260
2007-01-01,hydro,3.426
2007-01-01,natural gas,31.086
2007-01-01,nuclear,11.847
2007-01-01,solar,0.092
2007-01-01,wind,0.477
2008-01-01,biomass,5.284
2008-01-01,coal,32.582
2008-01-01,crude oil,14.498
2008-01-01,geothermal,0.263
2008-01-01,hydro,3.430
2008-01-01,natural gas,31.586
2008-01-01,nuclear,11.511
2008-01-01,solar,0.101
2008-01-01,wind,0.745
2009-01-01,biomass,5.447
2009-01-01,coal,29.768
2009-01-01,crude oil,15.589
2009-01-01,geothermal,0.276
2009-01-01,hydro,3.674
2009-01-01,natural gas,32.645
2009-01-01,nuclear,11.502
2009-01-01,solar,0.107
2009-01-01,wind,0.993
2010-01-01,biomass,6.073
2010-01-01,coal,29.396
2010-01-01,crude oil,15.468
2010-01-01,geothermal,0.277
2010-01-01,hydro,3.386
2010-01-01,natural gas,32.796
2010-01-01,nuclear,11.251
2010-01-01,solar,0.121
2010-01-01,wind,1.232
2011-01-01,biomass,6.021
2011-01-01,coal,28.440
2011-01-01,crude oil,15.320
2011-01-01,geothermal,0.272
2011-01-01,hydro,3.971
2011-01-01,natural gas,33.757
2011-01-01,nuclear,10.583
2011-01-01,solar,0.142
2011-01-01,wind,1.494
2012-01-01,biomass,5.735
2012-01-01,coal,26.081
2012-01-01,crude oil,17.408
2012-01-01,geothermal,0.267
2012-01-01,hydro,3.316
2012-01-01,natural gas,35.136
2012-01-01,nuclear,10.169
2012-01-01,solar,0.198
2012-01-01,wind,1.690
2013-01-01,biomass,5.883
2013-01-01,coal,24.433
2013-01-01,crude oil,19.310
2013-01-01,geothermal,0.261
2013-01-01,hydro,3.130
2013-01-01,natural gas,34.682
2013-01-01,nuclear,10.071
2013-01-01,solar,0.274
2013-01-01,wind,1.956
2014-01-01,biomass,5.722
2014-01-01,coal,23.119
2014-01-01,crude oil,20.131
2014-01-01,geothermal,0.244
2014-01-01,hydro,3.811
2014-01-01,natural gas,34.118
2014-01-01,nuclear,9.502
2014-01-01,solar,0.384
2014-01-01,wind,2.969
2015-01-01,biomass,5.651
2015-01-01,coal,22.318
2015-01-01,crude oil,18.280
2015-01-01,geothermal,0.240
2015-01-01,hydro,4.628
2015-01-01,natural gas,34.948
2015-01-01,nuclear,9.439
2015-01-01,solar,0.482
2015-01-01,wind,4.012
2016-01-01,biomass,6.022
2016-01-01,coal,20.386
2016-01-01,crude oil,16.922
2016-01-01,geothermal,0.248
2016-01-01,hydro,4.931
2016-01-01,natural gas,36.343
2016-01-01,nuclear,9.989
2016-01-01,solar,0.674
2016-01-01,wind,4.484
2017-01-01,biomass,5.896
2017-01-01,coal,20.704
2017-01-01,crude oil,17.134
2017-01-01,geothermal,0.238
2017-01-01,hydro,5.135
2017-01-01,natural gas,35.822
2017-01-01,nuclear,9.539
2017-01-01,solar,0.877
2017-01-01,wind,4.655
