source,year,share
biomass,2002-01-01,3.251
biomass,2003-01-01,3.187
biomass,2004-01-01,3.081
biomass,2005-01-01,2.918
biomass,2006-01-01,2.642
biomass,2007-01-01,2.715
biomass,2008-01-01,2.818
biomass,2009-01-01,3.039
biomass,2010-01-01,2.952
biomass,2011-01-01,3.016
biomass,2012-01-01,3.176
biomass,2013-01-01,3.330
biomass,2014-01-01,3.481
biomass,2015-01-01,3.302
biomass,2016-01-01,3.026
biomass,2017-01-01,2.829
coal,2002-01-01,1.266
coal,2003-01-01,1.208
coal,2004-01-01,1.151
coal,2005-01-01,1.068
coal,2006-01-01,1.033
coal,2007-01-01,1.092
coal,2008-01-01,1.099
coal,2009-01-01,1.005
coal,2010-01-01,1.033
coal,2011-01-01,0.992
coal,2012-01-01,0.692
coal,2013-01-01,0.413
coal,2014-01-01,0.407
coal,2015-01-01,0.152
coal,2016-01-01,0.162
coal,2017-01-01,0.142
crude oil,2002-01-01,1.067
crude oil,2003-01-01,1.243
crude oil,2004-01-01,1.164
crude oil,2005-01-01,1.273
crude oil,2006-01-01,1.095
crude oil,2007-01-01,1.109
crude oil,2008-01-01,0.840
crude oil,2009-01-01,0.756
crude oil,2010-01-01,0.521
crude oil,2011-01-01,0.456
crude oil,2012-01-01,0.146
crude oil,2013-01-01,0.035
crude oil,2014-01-01,0.033
crude oil,2015-01-01,0.043
crude oil,2016-01-01,0.089
crude oil,2017-01-01,0.022
geothermal,2002-01-01,7.112
geothermal,2003-01-01,6.744
geothermal,2004-01-01,6.743
geothermal,2005-01-01,6.515
geothermal,2006-01-01,5.927
geothermal,2007-01-01,6.174
geothermal,2008-01-01,6.211
geothermal,2009-01-01,6.300
geothermal,2010-01-01,6.198
geothermal,2011-01-01,6.280
geothermal,2012-01-01,6.300
geothermal,2013-01-01,6.176
geothermal,2014-01-01,6.113
geothermal,2015-01-01,6.066
geothermal,2016-01-01,5.837
geothermal,2017-01-01,5.630
hydro,2002-01-01,16.810
hydro,2003-01-01,18.419
hydro,2004-01-01,17.146
hydro,2005-01-01,19.888
hydro,2006-01-01,22.254
hydro,2007-01-01,13.134
hydro,2008-01-01,11.788
hydro,2009-01-01,13.744
hydro,2010-01-01,16.361
hydro,2011-01-01,21.246
hydro,2012-01-01,13.796
hydro,2013-01-01,12.020
hydro,2014-01-01,8.298
hydro,2015-01-01,7.107
hydro,2016-01-01,14.612
hydro,2017-01-01,20.832
natural gas,2002-01-01,49.433
natural gas,2003-01-01,48.409
natural gas,2004-01-01,52.630
natural gas,2005-01-01,47.847
natural gas,2006-01-01,49.790
natural gas,2007-01-01,55.848
natural gas,2008-01-01,58.664
natural gas,2009-01-01,56.408
natural gas,2010-01-01,53.726
natural gas,2011-01-01,45.346
natural gas,2012-01-01,60.971
natural gas,2013-01-01,60.689
natural gas,2014-01-01,61.507
natural gas,2015-01-01,60.078
natural gas,2016-01-01,50.179
natural gas,2017-01-01,43.718
nuclear,2002-01-01,18.689
nuclear,2003-01-01,18.490
nuclear,2004-01-01,15.574
nuclear,2005-01-01,18.089
nuclear,2006-01-01,14.773
nuclear,2007-01-01,17.010
nuclear,2008-01-01,15.661
nuclear,2009-01-01,15.569
nuclear,2010-01-01,15.840
nuclear,2011-01-01,18.342
nuclear,2012-01-01,9.314
nuclear,2013-01-01,8.989
nuclear,2014-01-01,8.581
nuclear,2015-01-01,9.447
nuclear,2016-01-01,9.632
nuclear,2017-01-01,8.719
solar,2002-01-01,0.302
solar,2003-01-01,0.277
solar,2004-01-01,0.294
solar,2005-01-01,0.269
solar,2006-01-01,0.229
solar,2007-01-01,0.265
solar,2008-01-01,0.323
solar,2009-01-01,0.317
solar,2010-01-01,0.378
solar,2011-01-01,0.445
solar,2012-01-01,0.696
solar,2013-01-01,1.914
solar,2014-01-01,5.017
solar,2015-01-01,7.563
solar,2016-01-01,9.581
solar,2017-01-01,11.861
wind,2002-01-01,2.069
wind,2003-01-01,2.024
wind,2004-01-01,2.216
wind,2005-01-01,2.132
wind,2006-01-01,2.257
wind,2007-01-01,2.654
wind,2008-01-01,2.596
wind,2009-01-01,2.862
wind,2010-01-01,2.990
wind,2011-01-01,3.878
wind,2012-01-01,4.909
wind,2013-01-01,6.435
wind,2014-01-01,6.563
wind,2015-01-01,6.243
wind,2016-01-01,6.882
wind,2017-01-01,6.246
