source,year,lcoe
natural gas,2002-01-01,28.134836202500484
natural gas,2003-01-01,28.134836202500484
natural gas,2004-01-01,28.134836202500484
natural gas,2005-01-01,28.134836202500484
natural gas,2006-01-01,28.134836202500484
natural gas,2007-01-01,27.841764992057772
natural gas,2008-01-01,27.841764992057772
natural gas,2009-01-01,18.463486257890942
natural gas,2010-01-01,46.89139367083414
natural gas,2012-01-01,27.841764992057772
coal,2002-01-01,17.64288686865135
coal,2003-01-01,16.851594600456018
coal,2004-01-01,17.701501110739887
coal,2005-01-01,17.388891819600993
coal,2006-01-01,17.486582223081896
coal,2007-01-01,25.753632617653437
coal,2008-01-01,17.486582223081896
coal,2009-01-01,28.017607718323397
coal,2010-01-01,22.976782898708727
coal,2014-01-01,35.75468767401103
wind,2002-01-01,19.25896525766402
wind,2003-01-01,17.681963030043704
wind,2004-01-01,15.923535767387424
wind,2005-01-01,14.433757114303631
wind,2006-01-01,14.486091259025546
wind,2007-01-01,14.444223943248014
wind,2008-01-01,15.532774153463805
wind,2009-01-01,20.209702220112117
wind,2010-01-01,21.687269572760794
wind,2011-01-01,22.524615888311402
wind,2012-01-01,18.316950652669586
wind,2013-01-01,19.733461503142703
wind,2014-01-01,16.02122617086833
nuclear,2002-01-01,17.291201416120092
nuclear,2003-01-01,17.291201416120092
nuclear,2004-01-01,17.291201416120092
nuclear,2005-01-01,15.53277415346381
nuclear,2006-01-01,14.165108504731148
nuclear,2007-01-01,15.532774153463809
nuclear,2008-01-01,15.386238548242453
nuclear,2009-01-01,25.555809550604607
nuclear,2010-01-01,25.49719530851607
nuclear,2011-01-01,18.463486257890942
nuclear,2014-01-01,32.09129754347711
solar,2002-01-01,60
solar,2003-01-01,55
solar,2004-01-01,45
solar,2005-01-01,43
solar,2006-01-01,40
solar,2007-01-01,39
solar,2008-01-01,38
solar,2009-01-01,30
solar,2010-01-01,25
solar,2011-01-01,24
solar,2012-01-01,22
solar,2013-01-01,20
solar,2014-01-01,21
solar,2015-01-01,19.04962867877637
solar,2016-01-01,16.118916574349235
solar,2017-01-01,14.653560522135669
wind,2015-01-01,16.118916574349235
wind,2016-01-01,13.774346890807529
wind,2017-01-01,13.188204469922102
nuclear,2015-01-01,34.289331621797466
nuclear,2016-01-01,34.289331621797466
nuclear,2017-01-01,43.37453914552158
natural gas,2015-01-01,18.756557468333657
natural gas,2016-01-01,18.463486257890942
natural gas,2017-01-01,17.584272626562804
coal,2015-01-01,31.651690727813044
coal,2016-01-01,29.893263465156764
coal,2017-01-01,29.893263465156764
