date,MortalityEveryone,MortalityFemales,MortalityMales,popshare-25,popshare25-44,popshare45-54,popshare55-64,popshare65-74,popshare75+,Rate85up,Rate75-84,Rate65-74,Rate55-64,Rate45-54,Rate25-44,Rate-25,Normalized85up,Normalized75-84,Normalized65-74,Normalized55-64,Normalized45-54,Normalized25-44,Normalized-25,Share-25,Share25-44,Share45-54,Share55-64,Share65-74,Share75-84,Share85up
1968/1/1 00:00,1167.3,1023.7,1318.5,0.461398885,0.237002733,0.113905649,0.090646404,0.061032338,0.036013991,19598.5,8293.5,3724.3,1704.4,751.3,238.3,160.7,1,1,1,1,1,1,1,0.076671872,0.058380421,0.088473961,0.159721711,0.234987944,0.255496917,0.125912267
1969/1/1 00:00,1143.5,1002.9,1291.8,0.460559767,0.236386487,0.114194597,0.091229665,0.061026489,0.036602995,18821.8,8098.8,3632.7,1661.3,732.6,238.1,160.7,0.960369416,0.976523784,0.975404774,0.974712509,0.97510981,0.999160722,1,0.0776362,0.059019038,0.087734067,0.15895192,0.232500689,0.255818709,0.127992862
1970/1/1 00:00,1124.2,987,1268.8,0.459984439,0.235897462,0.114126518,0.091369269,0.061120496,0.037501817,16344.9,8004.4,3582.7,1658.8,730,233,158.5,0.833987295,0.965141376,0.961979432,0.973245717,0.971649141,0.977759127,0.986309894,0.077210102,0.058203121,0.08824272,0.160524739,0.231922858,0.254968816,0.128553365
1971/1/1 00:00,1102.2,971.6,1239.6,0.459941019,0.235261153,0.113665066,0.091700008,0.061334838,0.038097915,17567,7773.1,3483.2,1617.3,710.1,227,150.3,0.896344108,0.937252065,0.935263002,0.948896973,0.94516172,0.952580781,0.935283136,0.074181522,0.05730355,0.08658644,0.159098479,0.229189818,0.257726161,0.135520782
1972/1/1 00:00,1098.6,968.9,1235.1,0.454461803,0.240119584,0.113144203,0.091814365,0.061757598,0.038702448,17543.1,7803.8,3521.2,1621.6,710.6,220.3,142.8,0.895124627,0.940953759,0.945466262,0.951419854,0.945827233,0.92446496,0.888612321,0.06915574,0.056366169,0.085655192,0.158620612,0.231681759,0.26050641,0.13774018
1973/1/1 00:00,1083.5,958.4,1215.2,0.449882101,0.243785584,0.112588847,0.091913415,0.062669743,0.03916031,17678.9,7709.7,3432.4,1598.7,697.6,215.4,138.7,0.902053729,0.929607524,0.921622855,0.937984041,0.928523892,0.903902644,0.863098942,0.066833654,0.056261445,0.084143815,0.157413344,0.230441109,0.260636198,0.143993699
1974/1/1 00:00,1046.3,928,1171,0.4452554,0.247511024,0.111513021,0.092355139,0.063601918,0.039763498,16901.1,7377.1,3318.3,1533.1,675.3,202.3,131.6,0.862367018,0.889503828,0.890986226,0.899495424,0.898842007,0.84892992,0.818917237,0.064643701,0.055245897,0.08309243,0.15622357,0.232870034,0.258603238,0.149055929
1975/1/1 00:00,1008.5,891.5,1132,0.439427142,0.250977922,0.110221428,0.09303472,0.064592876,0.041745912,15655,7034.5,3179.5,1475.3,649.9,193.7,127.1,0.798785621,0.848194369,0.853717477,0.865583196,0.865033941,0.812840957,0.790914748,0.063717227,0.055329474,0.081538228,0.156229743,0.233768772,0.258578599,0.150604978
1976/1/1 00:00,997.4,887.5,1113.5,0.433178848,0.255661597,0.108516943,0.09367427,0.065422643,0.043545699,16058.6,6952,3118.1,1452.3,635.3,183.2,122.3,0.819379034,0.83824682,0.837231158,0.852088712,0.845600958,0.76877885,0.761045426,0.06067381,0.053365385,0.078575918,0.155050695,0.232490678,0.260138575,0.159456176
1977/1/1 00:00,974.2,865.8,1088.6,0.426612937,0.260867826,0.10628791,0.094536779,0.066594291,0.045100257,15369,6755.7,3044.1,1408.4,621.2,179.7,122.7,0.784192668,0.814577681,0.817361652,0.826331847,0.826833489,0.754091481,0.763534536,0.060985041,0.054244137,0.07639673,0.154070574,0.234573438,0.258264253,0.161166289
